"species"	"site"	"season"	"count"
"13"	"33"	"1"	NA
"14"	"33"	"1"	NA
"15"	"33"	"1"	NA
"16"	"33"	"1"	NA
"1"	"34"	"1"	NA
"2"	"34"	"1"	NA
"3"	"34"	"1"	NA
"4"	"34"	"1"	NA
"5"	"34"	"1"	NA
"6"	"34"	"1"	NA
"7"	"34"	"1"	NA
"8"	"34"	"1"	NA
"9"	"34"	"1"	NA
"10"	"34"	"1"	NA
"11"	"34"	"1"	NA
"12"	"34"	"1"	NA
"13"	"34"	"1"	NA
"14"	"34"	"1"	NA
"15"	"34"	"1"	NA
"16"	"34"	"1"	NA
"1"	"35"	"1"	NA
"2"	"35"	"1"	NA
"3"	"35"	"1"	NA
"4"	"35"	"1"	NA
"5"	"35"	"1"	NA
"6"	"35"	"1"	NA
"7"	"35"	"1"	NA
"8"	"35"	"1"	NA
"9"	"35"	"1"	NA
"10"	"35"	"1"	NA
"11"	"35"	"1"	NA
"12"	"35"	"1"	NA
"13"	"35"	"1"	NA
"14"	"35"	"1"	NA
"15"	"35"	"1"	NA
"16"	"35"	"1"	NA
"1"	"36"	"1"	NA
"2"	"36"	"1"	NA
"3"	"36"	"1"	NA
"4"	"36"	"1"	NA
"5"	"36"	"1"	NA
"6"	"36"	"1"	NA
"7"	"36"	"1"	NA
"8"	"36"	"1"	NA
"9"	"36"	"1"	NA
"10"	"36"	"1"	NA
"11"	"36"	"1"	NA
"12"	"36"	"1"	NA
"13"	"36"	"1"	NA
"14"	"36"	"1"	NA
"15"	"36"	"1"	NA
"16"	"36"	"1"	NA
"1"	"37"	"1"	NA
"2"	"37"	"1"	NA
"3"	"37"	"1"	NA
"4"	"37"	"1"	NA
"5"	"37"	"1"	NA
"6"	"37"	"1"	NA
"7"	"37"	"1"	NA
"8"	"37"	"1"	NA
"9"	"37"	"1"	NA
"10"	"37"	"1"	NA
"11"	"37"	"1"	NA
"12"	"37"	"1"	NA
"13"	"37"	"1"	NA
"14"	"37"	"1"	NA
"15"	"37"	"1"	NA
"16"	"37"	"1"	NA
"1"	"38"	"1"	NA
"2"	"38"	"1"	NA
"3"	"38"	"1"	NA
"4"	"38"	"1"	NA
"5"	"38"	"1"	NA
"6"	"38"	"1"	NA
"7"	"38"	"1"	NA
"8"	"38"	"1"	NA
"9"	"38"	"1"	NA
"10"	"38"	"1"	NA
"11"	"38"	"1"	NA
"12"	"38"	"1"	NA
"13"	"38"	"1"	NA
"14"	"38"	"1"	NA
"15"	"38"	"1"	NA
"16"	"38"	"1"	NA
"1"	"39"	"1"	NA
"2"	"39"	"1"	NA
"3"	"39"	"1"	NA
"4"	"39"	"1"	NA
"5"	"39"	"1"	NA
"6"	"39"	"1"	NA
"7"	"39"	"1"	NA
"8"	"39"	"1"	NA
"9"	"39"	"1"	NA
"10"	"39"	"1"	NA
"11"	"39"	"1"	NA
"12"	"39"	"1"	NA
"13"	"39"	"1"	NA
"14"	"39"	"1"	NA
"15"	"39"	"1"	NA
"16"	"39"	"1"	NA
"1"	"40"	"1"	NA
"2"	"40"	"1"	NA
"3"	"40"	"1"	NA
"4"	"40"	"1"	NA
"5"	"40"	"1"	NA
"6"	"40"	"1"	NA
"7"	"40"	"1"	NA
"8"	"40"	"1"	NA
"9"	"40"	"1"	NA
"10"	"40"	"1"	NA
"11"	"40"	"1"	NA
"12"	"40"	"1"	NA
"13"	"40"	"1"	NA
"14"	"40"	"1"	NA
"15"	"40"	"1"	NA
"16"	"40"	"1"	NA
"1"	"41"	"1"	NA
"2"	"41"	"1"	NA
"3"	"41"	"1"	NA
"4"	"41"	"1"	NA
"5"	"41"	"1"	NA
"6"	"41"	"1"	NA
"7"	"41"	"1"	NA
"8"	"41"	"1"	NA
"9"	"41"	"1"	NA
"10"	"41"	"1"	NA
"11"	"41"	"1"	NA
"12"	"41"	"1"	NA
"13"	"41"	"1"	NA
"14"	"41"	"1"	NA
"15"	"41"	"1"	NA
"16"	"41"	"1"	NA
"1"	"42"	"1"	NA
"2"	"42"	"1"	NA
"3"	"42"	"1"	NA
"4"	"42"	"1"	NA
"5"	"42"	"1"	NA
"6"	"42"	"1"	NA
"7"	"42"	"1"	NA
"8"	"42"	"1"	NA
"9"	"42"	"1"	NA
"10"	"42"	"1"	NA
"11"	"42"	"1"	NA
"12"	"42"	"1"	NA
"13"	"42"	"1"	NA
"14"	"42"	"1"	NA
"15"	"42"	"1"	NA
"16"	"42"	"1"	NA
"1"	"43"	"1"	NA
"2"	"43"	"1"	NA
"3"	"43"	"1"	NA
"4"	"43"	"1"	NA
"5"	"43"	"1"	NA
"6"	"43"	"1"	NA
"7"	"43"	"1"	NA
"8"	"43"	"1"	NA
"9"	"43"	"1"	NA
"10"	"43"	"1"	NA
"11"	"43"	"1"	NA
"12"	"43"	"1"	NA
"13"	"43"	"1"	NA
"14"	"43"	"1"	NA
"15"	"43"	"1"	NA
"16"	"43"	"1"	NA
"1"	"44"	"1"	NA
"2"	"44"	"1"	NA
"3"	"44"	"1"	NA
"4"	"44"	"1"	NA
"5"	"44"	"1"	NA
"6"	"44"	"1"	NA
"7"	"44"	"1"	NA
"8"	"44"	"1"	NA
"9"	"44"	"1"	NA
"10"	"44"	"1"	NA
"11"	"44"	"1"	NA
"12"	"44"	"1"	NA
"13"	"44"	"1"	NA
"14"	"44"	"1"	NA
"15"	"44"	"1"	NA
"16"	"44"	"1"	NA
"1"	"45"	"1"	NA
"2"	"45"	"1"	NA
"3"	"45"	"1"	NA
"4"	"45"	"1"	NA
"5"	"45"	"1"	NA
"6"	"45"	"1"	NA
"7"	"45"	"1"	NA
"8"	"45"	"1"	NA
